屬性,追蹤,術式名稱,術式英文,結印,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火遁,2,豪火球之術,front_fireball_,巳,未,申,亥,午,寅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,分身之術,Clone Jutsu,未,巳,寅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,通靈之術,frog,戌,亥,酉,申,未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,通靈 土遁追牙之術,Summoning: Earth Style: Fanged Pursuit Jutsu,寅,巳,辰,戌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火遁,0,鳳仙花之術,Phoenix Flower Jutsu,子,寅,戌,丑,卯,寅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水遁,0,水亂波之術,Water Trumpet,辰,寅,卯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,通靈 穢土轉生術,Summoning Jutsu: Impure World Reincarnation,寅,巳,戌,辰,祈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火遁,0,龍火之術,Dragon Flame Jutsu,巳,辰,卯,寅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水遁,0,水鮫弾之術,Water Shark Bomb Jutsu,寅,丑,辰,卯,酉,辰,未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,屍鬼封盡之術,Reaper_Death_Seal,巳,亥,未,卯,戌,子,酉,午,巳,祈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水遁,0,水龍弾之術,Water Dragon Jutsu,丑,申,卯,子,亥,酉,丑,午,酉,子,寅,戌,寅,巳,丑,未,巳,亥,未,子,壬,申,酉,辰,酉,丑,午,未,寅,巳,子,申,卯,亥,辰,未,子,丑,申,酉,壬,子,亥,酉
火遁,0,火龍炎弾之術,Dragon Flame Bomb,未,午,巳,辰,子,丑,寅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,替身之術,Substitution Jutsu,未,亥,丑,戌,巳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,螺旋丸,rasengan,子,丸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風遁,1,螺旋手里劍,rasen_shuriken,祈,丸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土遁,0,岩宿崩,rockfall,寅,子,巳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷遁,2,千鳥,electric_bird,丑,卯,申,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水遁,0,大瀑布之術,big_waterfall,寅,丑,申,卯,子,亥,酉,丑,午,戌,寅,戌,寅,巳,丑,申,卯,,,,,,,,,,,,,,,,,,,,,,,,,,,
